REGION,PSU,PJ,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
3,65,2853,8,2,2,0,0,2,0,1,1,6,14,15,12,2,2,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,6,14,15,12,6,0,2,1,1,2,1,2,1,3,13,65,139.8363995
3,65,2851,8,2,1,1,0,1,0,1,1,7,3,30,14,2,1,0,0,3,2,0,7,3,1,0,1,0,0,0,0,0,7,3,30,14,0,0,3,3,1,1,1,2,1,3,13,65,139.8363995
3,48,91,9,2,2,0,0,2,0,0,1,4,18,35,12,2,0,1,0,1,1,0,1,3,10,0,10,0,0,0,0,0,4,18,35,12,1,0,1,3,10,0,0,2,1,3,12,48,427.41721
3,70,46,8,2,2,0,0,3,0,1,1,5,20,10,12,2,2,1,0,3,3,0,1,2,10,0,10,0,0,0,0,0,5,20,10,12,1,0,3,2,10,2,1,2,2,3,16,70,130.1761895
3,70,46,7,2,2,0,0,4,0,0,1,4,12,55,12,2,0,7,0,1,1,0,1,1,10,0,10,0,0,0,0,0,4,12,55,12,7,0,1,1,10,0,0,2,2,3,16,70,129.8270826
3,70,46,9,2,2,0,0,2,0,0,1,7,22,10,12,2,0,8,0,1,1,0,1,2,10,0,10,0,0,0,0,0,7,22,10,12,8,0,1,2,10,0,0,2,2,3,16,70,146.5241049
3,70,47,10,2,2,0,0,2,0,0,1,1,8,30,12,2,0,8,0,1,1,0,1,1,10,0,10,0,0,0,0,0,1,8,30,12,8,0,1,1,10,0,0,2,2,3,16,70,215.218122
3,70,46,10,2,2,0,0,3,0,0,1,3,14,30,12,9,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,3,14,30,12,7,0,1,1,1,0,0,2,2,3,16,70,215.218122
3,70,46,8,1,1,0,0,1,0,1,1,1,14,45,42,2,2,0,0,1,1,1,4,1,1,0,1,0,1,0,0,0,1,14,45,42,0,0,1,1,1,2,1,2,2,3,16,70,130.1761895
3,70,137,9,3,3,0,0,4,0,0,1,2,18,16,12,2,0,1,0,3,2,0,1,3,1,0,1,0,0,0,0,0,2,18,16,12,1,0,3,3,1,0,0,2,2,3,16,70,146.5241049
3,70,137,10,2,2,0,0,2,0,0,1,4,10,28,12,2,0,1,1,18,1,0,1,1,1,0,1,0,0,28,0,0,4,10,28,12,1,1,18,1,1,0,0,2,2,3,16,70,215.218122
3,70,137,8,2,2,0,0,3,0,1,1,4,18,36,12,2,1,6,0,2,3,0,1,3,1,0,1,0,0,0,0,0,4,18,36,12,6,0,2,3,1,1,1,2,2,3,16,70,130.1761895
3,70,137,9,2,2,0,0,3,0,0,1,5,21,37,12,2,0,1,0,3,2,0,1,3,2,0,2,0,0,0,0,0,5,21,37,12,1,0,3,3,2,0,0,2,2,3,16,70,146.5241049
3,70,138,9,2,2,0,0,3,0,0,1,2,7,50,12,2,0,1,0,3,3,0,1,1,1,0,1,0,0,28,0,0,2,7,50,12,1,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,5,2,2,0,0,2,0,1,1,2,8,0,12,2,3,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,2,8,0,12,6,0,2,1,1,3,1,2,2,3,16,70,29.89522138
3,70,138,9,2,2,0,0,2,0,0,1,2,15,21,12,2,0,1,0,1,1,0,1,1,1,0,1,0,0,28,0,0,2,15,21,12,1,0,1,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,10,2,2,0,0,2,0,0,1,3,13,33,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,3,13,33,12,1,0,3,1,1,0,0,2,2,3,16,70,215.218122
3,70,138,6,2,2,0,0,2,0,1,1,4,6,45,12,2,2,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,4,6,45,12,6,0,2,1,1,2,1,2,2,3,16,70,51.57365489
3,70,138,10,2,2,0,0,5,0,0,1,4,18,40,12,2,0,7,0,3,2,0,1,3,1,0,1,0,0,0,0,0,4,18,40,12,7,0,3,3,1,0,0,2,2,3,16,70,215.218122
3,70,138,9,2,2,0,0,4,0,0,1,5,11,23,12,2,0,7,0,3,3,0,1,1,1,0,1,0,0,0,0,0,5,11,23,12,7,0,3,1,1,0,0,2,2,3,16,70,146.5241049
3,70,138,6,3,3,0,0,3,0,1,1,6,15,55,12,2,1,1,0,1,1,0,1,1,10,0,10,0,0,28,0,0,6,15,55,12,1,0,1,1,10,1,1,2,2,3,16,70,51.57365489
3,70,138,8,3,3,0,0,3,0,1,1,6,17,19,12,2,1,6,0,2,2,0,1,5,10,0,10,0,0,0,0,0,6,17,19,12,6,0,2,5,10,1,1,2,2,3,16,70,130.1761895
3,70,138,10,2,1,1,0,1,0,0,1,6,23,57,14,9,0,0,0,1,1,0,7,3,10,0,10,0,0,0,0,0,6,23,57,14,0,0,1,3,10,0,0,2,2,3,16,70,215.218122
3,48,85,5,1,1,0,0,1,0,1,1,2,17,30,32,1,4,0,0,1,1,0,4,2,1,0,1,0,0,0,0,0,2,17,30,32,0,0,1,2,1,4,1,1,1,3,12,48,27.37381445
3,48,85,5,2,2,0,0,4,0,1,1,3,13,55,32,2,3,0,0,1,1,0,3,1,1,0,1,0,0,14,0,0,3,13,55,32,0,0,1,1,1,3,1,2,1,3,12,48,31.45521034
3,48,91,10,2,2,0,0,3,0,0,1,3,17,15,12,2,0,6,0,4,1,0,1,3,1,0,1,0,0,0,0,0,3,17,15,12,6,0,4,3,1,0,0,2,1,3,12,48,540.7936367
3,48,85,6,2,2,0,0,2,0,1,1,6,17,50,12,2,2,1,1,20,1,0,1,2,10,0,10,0,1,0,0,0,6,17,50,12,1,1,20,2,10,2,1,2,1,3,12,48,157.2866889
3,48,91,5,2,2,0,0,4,0,2,1,5,16,20,12,2,3,1,0,1,1,0,1,5,1,0,1,0,0,0,0,0,5,16,20,12,1,0,1,5,1,3,2,2,1,3,12,48,31.45521034
3,30,2199,9,2,2,0,0,3,0,0,1,5,15,47,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,5,15,47,12,7,0,1,1,1,0,0,2,1,3,14,30,141.3644905
3,65,2854,7,3,2,1,0,2,0,0,1,4,13,18,12,9,0,2,0,3,3,0,1,1,10,0,10,0,0,0,0,0,4,13,18,12,2,0,3,1,10,0,0,2,1,3,13,65,174.0540163
3,65,2854,9,2,2,0,0,6,0,0,1,4,23,5,12,2,0,6,0,2,3,0,1,3,2,0,2,0,0,0,0,0,4,23,5,12,6,0,2,3,2,0,0,2,1,3,13,65,181.6700749
