REGION,PSU,PSU_VAR,PSUSTRAT,URBANICITY,STRATUM,PJ,WEIGHT,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERMVIT,MONTH,DAY_WEEK,WKDY_IM,HOUR,HOUR_IM,MINUTE,MINUTENAME,MINUTE_IM,MINUTE_IMNAME,HARM_EV,EVENT1_IM,MAN_COLL,MANCOL_IM,RELJCT1,RELJCT1_IM,RELJCT2,RELJCT2_IM,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,LGTCON_IM,WEATHER,WEATHR_IM,SCH_BUS,INT_HWY,MAX_SEV,MAXSEV_IM,NUM_INJ,NO_INJ_IM,ALCOHOL,ALCHL_IM
3,35,35,13,1,10,4141,196.1719023,0,0,3,3,0,3,1,2,2,15,15,20,20,20,20,12,12,6,6,0,0,3,3,2,1,0,1,1,1,1,0,0,0,0,0,0,2,2
3,32,32,17,2,10,4145,191.4574406,0,0,1,1,0,1,1,2,2,1,1,36,36,36,36,24,24,0,0,0,0,1,1,1,3,0,2,2,2,2,0,1,0,0,0,0,2,2
3,65,65,13,1,10,4138,193.1650323,0,0,2,2,0,2,1,2,2,13,13,19,19,19,19,12,12,6,6,0,0,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,9,2
3,83,83,13,1,5,4148,23.28159742,0,0,2,2,0,2,1,1,1,16,16,25,25,25,25,12,12,6,6,0,0,2,2,2,1,0,1,1,98,2,0,0,3,3,2,2,2,2
3,83,83,13,1,8,4148,122.3185638,0,0,2,2,0,2,1,1,1,10,10,45,45,45,45,12,12,8,8,0,0,1,1,1,1,0,1,1,3,3,0,0,1,1,1,2,9,2
3,83,83,13,1,10,4148,198.6423173,0,0,2,2,0,2,1,1,1,21,21,0,0,0,0,12,12,6,6,0,0,2,2,2,1,0,3,3,1,1,0,0,0,0,0,0,9,2
3,75,75,19,2,6,4144,46.18433409,0,0,2,2,0,2,1,3,3,16,16,12,12,12,12,12,12,2,2,0,0,2,2,2,1,0,1,1,98,1,0,0,2,2,1,1,1,1
3,28,28,11,1,2,4139,21.65837674,1,1,1,1,0,1,1,2,2,7,7,1,1,1,1,8,8,0,0,0,0,3,3,3,1,0,4,4,1,1,0,0,1,1,1,1,9,2
3,28,28,11,1,6,4139,49.2893234,0,0,3,3,0,5,1,2,2,9,9,40,40,40,40,12,12,1,1,0,0,8,8,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2
3,28,28,11,1,7,4139,133.3338417,0,0,2,2,0,2,1,3,3,8,8,50,50,50,50,12,12,7,7,0,0,2,2,3,1,0,1,1,10,10,0,0,0,0,0,0,9,2
